region	population	year	month	count_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
Эстонская ССР	1126413	1943	4	5	0.0	0.0	0.0	0.2	0.4	0.4	0.4	0.6	0.6	0.6	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	5	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.6	0.6	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	6	4	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	7	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.5	0.5	0.5	0.5	0.75	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	8	4	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.75	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	9	6	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.5	0.5	0.5	0.5	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	10	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	11	6	0.0	0.0	0.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1943	12	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Эстонская ССР	1126413	1944	1	40	0.0	0.0	0.0	0.0	0.1	0.225	0.35	0.5	0.575	0.6	0.6	0.65	0.675	0.7	0.7	0.75	0.75	0.75	0.8	0.85	0.925	0.925	0.975	0.975	0.975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
